time_ms, torque_y, torque_z, thrust, torque_x_sp, torque_y_sp, torque_z_sp, thrust_sp, amp_cut_in, phase_lag
1282312, -0.00017, -0.02397, 0.87928, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282322, -0.00017, -0.02397, 0.87928, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282332, -0.00017, -0.02397, 0.87928, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282342, -0.00017, -0.02397, 0.87928, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282352, -0.00017, -0.02397, 0.87928, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282362, -0.00017, -0.02397, 0.87928, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282372, -0.00017, -0.02397, 0.87928, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282382, -0.00016, -0.02381, 0.87913, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282392, -0.00016, -0.02381, 0.87913, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282402, -0.00016, -0.02381, 0.87913, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282412, -0.00016, -0.02381, 0.87913, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282422, -0.00016, -0.02381, 0.87913, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282432, -0.00016, -0.02381, 0.87913, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282442, -0.00016, -0.02381, 0.87913, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282452, -0.00016, -0.02381, 0.87913, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282462, -0.00016, -0.02381, 0.87913, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282472, -0.00016, -0.02381, 0.87913, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282482, -0.00017, -0.02367, 0.87820, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282492, -0.00017, -0.02367, 0.87820, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282502, -0.00017, -0.02367, 0.87820, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282512, -0.00017, -0.02367, 0.87820, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282522, -0.00017, -0.02367, 0.87820, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282532, -0.00017, -0.02367, 0.87820, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282542, -0.00017, -0.02367, 0.87820, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282552, -0.00017, -0.02367, 0.87820, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282562, -0.00017, -0.02367, 0.87820, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282572, -0.00017, -0.02367, 0.87820, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282582, -0.00017, -0.02364, 0.87523, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282592, -0.00017, -0.02364, 0.87523, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282602, -0.00017, -0.02364, 0.87523, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282612, -0.00017, -0.02364, 0.87523, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282622, -0.00017, -0.02364, 0.87523, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282632, -0.00017, -0.02364, 0.87523, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282642, -0.00017, -0.02364, 0.87523, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282652, -0.00017, -0.02364, 0.87523, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282662, -0.00017, -0.02364, 0.87523, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282672, -0.00017, -0.02364, 0.87523, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282682, -0.00019, -0.02369, 0.87566, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282692, -0.00019, -0.02369, 0.87566, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282702, -0.00019, -0.02369, 0.87566, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282712, -0.00019, -0.02369, 0.87566, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282722, -0.00019, -0.02369, 0.87566, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282732, -0.00019, -0.02369, 0.87566, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282742, -0.00019, -0.02369, 0.87566, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282752, -0.00019, -0.02369, 0.87566, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282762, -0.00019, -0.02369, 0.87566, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282772, -0.00019, -0.02369, 0.87566, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282782, -0.00019, -0.02389, 0.87715, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282792, -0.00019, -0.02389, 0.87715, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282802, -0.00019, -0.02389, 0.87715, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282812, -0.00019, -0.02389, 0.87715, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282822, -0.00019, -0.02389, 0.87715, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282832, -0.00019, -0.02389, 0.87715, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282842, -0.00019, -0.02389, 0.87715, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282852, -0.00019, -0.02389, 0.87715, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282862, -0.00019, -0.02389, 0.87715, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282872, -0.00019, -0.02389, 0.87715, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282882, -0.00018, -0.02403, 0.87922, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282892, -0.00018, -0.02403, 0.87922, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282902, -0.00018, -0.02403, 0.87922, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282912, -0.00018, -0.02403, 0.87922, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282922, -0.00018, -0.02403, 0.87922, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282932, -0.00018, -0.02403, 0.87922, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282942, -0.00018, -0.02403, 0.87922, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282952, -0.00018, -0.02403, 0.87922, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282962, -0.00018, -0.02403, 0.87922, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282972, -0.00018, -0.02403, 0.87922, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282982, -0.00019, -0.02412, 0.88153, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1282992, -0.00019, -0.02412, 0.88153, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283002, -0.00019, -0.02412, 0.88153, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283012, -0.00019, -0.02412, 0.88153, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283022, -0.00019, -0.02412, 0.88153, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283032, -0.00019, -0.02412, 0.88153, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283042, -0.00019, -0.02412, 0.88153, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283052, -0.00019, -0.02412, 0.88153, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283062, -0.00019, -0.02412, 0.88153, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283072, -0.00019, -0.02412, 0.88153, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283082, -0.00018, -0.02404, 0.88440, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283094, -0.00018, -0.02404, 0.88440, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283104, -0.00018, -0.02404, 0.88440, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283114, -0.00018, -0.02404, 0.88440, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283124, -0.00018, -0.02404, 0.88440, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283134, -0.00018, -0.02404, 0.88440, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
